Doria,1971,147350000,55,11.2,1.7,0
Earl,1998,79000000,70,16.4,3.7,0
Earl,2010,18000000,60,5.2,1.4,0
Easy,1948,12000000,115,11.0,1.6,0
Easy,1950,3300000,105,45.2,2.0,0
Edith,1971,25000000,90,8.3,2.9,0
Edna,1954,40000000,105,9.3,1.8,0
Elena,1979,10000000,35,10.3,1.0,0
Elena,1985,1250000000,100,15.7,2.7,1
Eloise,1975,490000000,110,14.9,4.9,0
Emily,1993,35000000,100,7.5,3.1,1
Erin,1995,350000000,75,10.8,1.2,1
Erin x2,1995,350000000,85,7.0,1.6,0
Ernesto,2006,500000000,40,14.6,1.9,0
Esther,1957,1500000,40,18.4,0.3,0
Esther,1961,6000000,40,9.1,1.8,0
Ethel,1960,1060000,75,12.9,2.1,0
Fay,2002,4500000,50,18.5,1.1,0
Fay,2008,560000000,55,27.7,0.6,0
Fern,1971,30230000,65,26.0,1.8,0
Florence,1953,200000,75,14.7,2.4,0
Florence,1988,2920000,70,10.7,2.3,0
Florida Hurricane,1903,250000,80,14.5,2.4,0
Florida Hurricane,1941,662500,90,6.0,2.4,0
Florida Hurricane,1946,5200000,75,7.8,2.9,0
Florida Hurricane,1949,52000000,115,9.6,3.7,0
Florida Hurricane x2,1903,420000,80,13.0,3.0,0
Florida Hurricane x2,1941,337500,80,6.8,2.4,0
Florida Keys Hurricane,1906,200000,105,10.0,3.2,0
Florida Keys Hurricane,1919,2000000,130,13.4,3.9,0
Florida Keys Hurricane x2,1919,20000000,100,12.0,4.9,0
Flossy,1956,25000000,90,16.7,4.0,0
Floyd,1987,500000,65,10.1,1.0,0
Floyd,1999,4500000000,90,24.1,3.0,1
Fort Lauderdale Hurricane,1947,31000000,125,10.1,3.4,0
Fort Lauderdale Hurricane x2,1947,79000000,90,9.0,3.4,0
Fox,1948,5500000,90,12.0,1.4,0
Fran,1996,3200000000,100,16.0,3.7,1
Frances,1998,500000000,45,22.4,2.4,0
Frances,2004,9000000000,90,23.6,2.4,1
Frederic,1979,2300000000,115,11.0,6.7,0
Freeport Hurricane,1932,7500000,130,9.9,3.7,0
Gabrielle,2001,230000000,60,15.1,1.9,0
Galveston Hurricane,1900,30000000,125,10.1,3.7,0
Galveston Hurricane,1915,50000000,115,19.8,4.9,0
Gaston,2004,130000000,65,12.6,1.4,1
Georges,1998,680000000,90,8.4,3.6,0
Georges x2,1998,1630000000,90,38.5,3.0,0
Gilbert,1988,50000000,60,8.6,1.8,0
Ginger,1971,10000000,65,15.6,2.1,0
Gladys,1968,6700000,90,13.8,2.0,0
Gloria,1985,100000000,105,9.7,1.8,1
Gloria x2,1985,800000000,90,6.9,2.1,0
Gordon,1994,400000000,45,16.1,0.8,0
Gordon,2000,10800000,55,9.5,0.6,0
Gracie,1959,14000000,105,13.2,3.6,0
Grand Isle Hurricane,1909,5000000,105,13.5,3.2,0
Great Atlantic Hurricane,1944,10000000,90,6.0,1.8,0
Great Atlantic Hurricane x2,1944,90000000,90,12.0,2.4,0
Great Miami Hurricane,1926,76000000,125,10.0,4.6,0
Great Miami Hurricane x2,1926,29000000,95,18.5,4.3,0
Gustav,2002,100000,55,5.9,1.8,0
Gustav,2008,4300000000,90,21.0,4.5,0
Hanna,2002,20000000,50,15.6,1.1,0
Hanna,2008,160000000,60,9.6,1.2,0
Harvey,1999,15000000,50,10.2,0.6,0
Hazel,1954,281000000,125,11.2,3.4,0
Helene,1958,11200000,105,8.3,2.7,0
Helene,2000,16000000,35,9.6,0.3,0
Hermine,2010,240000000,60,16.4,1.0,0
Hilda,1964,125000000,100,17.7,3.0,0
Homestead Hurricane,1945,60000000,115,11.2,2.3,0
How,1951,2000000,60,15.7,0.6,0
Hugo,1989,7000000000,120,10.3,6.2,1
Humberto,2007,50000000,80,14.1,0.9,0
Ike,2008,19300000000,95,18.9,6.7,0
Inez,1966,5000000,75,4.8,1.5,0
Ione,1955,88035000,105,16.6,3.0,0
Irene,1999,800000000,70,17.5,0.7,1
Irene,2011,15600000000,75,15.7,2.4,0
Isaac,2012,2350000000,70,26.7,3.4,0
Isabel,2003,3370000000,90,20.2,2.7,1
Isbell,1964,10000000,90,9.5,1.5,0
Isidore,1984,1000000,50,8.9,0.9,0
Isidore,2002,330000000,55,16.0,2.5,1
Ivan,2004,14200000000,105,17.0,4.3,1
Jeanne,2004,6900000000,105,12.0,1.8,1
Jerry,1989,70000000,75,6.4,1.0,1
Jerry,1995,40600000,35,18.5,0.6,0
Josephine,1996,130000000,60,11.4,2.8,0
Juan,1985,1500000000,75,17.8,1.8,0
Kate,1985,300000000,85,8.3,2.7,0
Katrina,2005,523000000,70,16.4,1.6,0
Katrina x2,2005,107477000000,110,14.8,8.2,1
Keith,1988,3000000,55,10.3,1.8,1
King,1950,28000000,115,13.9,2.4,0
Kyle,2002,5000000,35,8.7,0.4,0
Labor Day Hurricane,1935,5000000,160,15.0,6.0,0
Labor Day Hurricane x2,1935,1000000,75,16.7,1.8,0
Lake Okeechobee Hurricane,1928,25000000,125,12.6,6.1,0
Lili,2002,860000000,80,8.4,3.7,1
Louisiana Hurricane,1901,1000000,75,12.0,1.2,0
Louisiana Hurricane,1920,1450000,85,11.9,1.8,0
Louisiana Hurricane,1926,7000000,100,14.5,4.6,0
Louisiana Hurricane,1940,9000000,90,37.5,2.0,0
Marco,1990,57000000,35,19.9,0.8,0
Matagorda Hurricane,1942,26500000,105,9.3,3.7,0
Mississippi Hurricane,1906,4000000,95,14.2,2.6,0
Mitch,1998,40000000,55,11.2,1.2,0
Nassau Hurricane,1926,3051000,90,10.4,1.5,0
New England Hurricane,1938,306000000,105,17.1,8.0,0
New Orleans Hurricane,1915,13000000,125,14.4,4.0,0
Opal,1995,3000000000,100,19.4,4.6,1
Ophelia,2005,70000000,70,17.5,4.0,0
Outer Banks Hurricane,1933,4750000,105,17.8,1.2,0
Rita,2005,10000000000,100,16.0,4.6,0
Sandy,2012,71400000000,70,12.8,4.2,0
South Carolina Hurricane,1940,7000000,90,20.7,4.0,0
Storm 1,1918,5000000,105,4.0,3.2,0
Storm 1,1929,675000,75,3.6,0.8,0
Storm 11,1909,1000000,100,9.0,3.2,0
Storm 13,1936,1600000,75,7.8,2.8,0
Storm 2,1904,1000000,70,8.9,1.2,0
Storm 2,1916,3100000,105,24.5,3.4,0
Storm 2,1942,601000,75,9.8,0.9,0
Storm 3,1911,1000000,85,19.1,3.2,0
Storm 3,1934,1500000,75,10.0,1.4,0
Storm 3,1936,550000,75,21.0,1.2,0
Storm 3,1938,245000,65,14.9,0.9,0
Storm 3,1944,2000000,75,7.7,1.5,0
Storm 3,1947,800000,75,12.2,1.1,0
Storm 4,1913,3000000,75,5.5,3.0,0
Storm 5,1936,123000,90,9.6,1.8,0
Storm 5,1948,900000,75,8.1,1.4,0
Storm 6,1947,100000,50,11.1,0.3,0
Storm 7,1946,7000000,40,7.9,0.3,0
Storm 7,1947,200000,40,6.9,0.3,0
Subtrop,1974,10000000,55,11.4,1.2,0
Subtrop,1982,10000000,40,10.7,0.3,0
Surprise Hurricane,1943,16550000,90,23.0,1.8,0
Tampa Bay Hurricane,1921,3000000,100,13.8,3.5,0
Texas Hurricane,1916,1800000,115,6.0,2.4,0
Texas Hurricane,1941,7000000,105,7.0,2.1,0
Texas Hurricane,1945,20000000,100,19.6,4.6,0
Texas Hurricane,1949,6700000,90,14.5,3.4,0
Treasure Coast Hurricane,1933,1000000,105,12.6,3.7,0
Unnamed,1959,1656000,35,13.0,1.0,0
Unnamed,1960,3600000,35,29.8,1.1,0
Unnamed,1987,7400000,40,21.1,1.2,0
Valasco Hurricane,1909,2000000,100,8.5,3.0,0
Wilma,2005,20600000000,105,13.3,2.7,0
Yankee Hurricane,1935,5500000,90,11.8,1.0,0
